Category: All categories

Day,Mps expenses: (United Kingdom)
2009-04-14,0
2009-04-15,0
2009-04-16,0
2009-04-17,0
2009-04-18,0
2009-04-19,0
2009-04-20,0
2009-04-21,0
2009-04-22,0
2009-04-23,0
2009-04-24,0
2009-04-25,0
2009-04-26,0
2009-04-27,0
2009-04-28,0
2009-04-29,0
2009-04-30,5
2009-05-01,0
2009-05-02,0
2009-05-03,0
2009-05-04,0
2009-05-05,0
2009-05-06,0
2009-05-07,0
2009-05-08,9
2009-05-09,7
2009-05-10,7
2009-05-11,16
2009-05-12,20
2009-05-13,14
2009-05-14,14
2009-05-15,29
2009-05-16,15
2009-05-17,18
2009-05-18,11
2009-05-19,13
2009-05-20,13
2009-05-21,11
2009-05-22,13
2009-05-23,7
2009-05-24,0
2009-05-25,12
2009-05-26,4
2009-05-27,4
2009-05-28,4
2009-05-29,0
2009-05-30,8
2009-05-31,0
2009-06-01,5
2009-06-02,9
2009-06-03,8
2009-06-04,5
2009-06-05,5
2009-06-06,0
2009-06-07,0
2009-06-08,0
2009-06-09,0
2009-06-10,0
2009-06-11,0
2009-06-12,5
2009-06-13,0
2009-06-14,6
2009-06-15,0
2009-06-16,0
2009-06-17,0
2009-06-18,100
2009-06-19,35
2009-06-20,11
2009-06-21,17
2009-06-22,7
2009-06-23,6
2009-06-24,0
2009-06-25,0
2009-06-26,0
2009-06-27,0
2009-06-28,0
2009-06-29,0
2009-06-30,0
2009-07-01,0
